Name in documentation	Qty	Full Name	Supplier 1	Part No	Link
286mm x 30mm plexiglass plate	1	Plexiglass precut			
286mm x 30mm plexiglass plates	2	Plexiglass precut			
310mm x 64mm plexiglass plates	2	Plexiglass precut			
3D printed mounting	1	PixyCam mount			
3mm pozidriv screws	Many	Pozidriv wood screw	RS Components	144-3525	https://de.rs-online.com/web/p/holzschrauben/1443525
480mm x 326mm plexiglass plate	2	Plexiglass precut			
480mm x 64mm plexiglass plates	2	Plexiglass precut			
Active Buzzer	2	Keyes KY-012 Active Buzzer	Aliexpress	No PartNo	https://de.aliexpress.com/item/32816721769.html?aff_fcid=dbb60528572745a9ac0787a7403f897f-1651112003196-06651&aff_fsk&aff_platform=api-new-product-query&sk&aff_trace_key=dbb60528572745a9ac0787a7403f897f-1651112003196-06651&terminal_id=c3fe0c0a7e284a458624de73aaa29e49&afSmartRedirect=y&gatewayAdapt=glo2deu
aluminium rod 12mm diameter	1	Aluminium rod	RS Components	124-3623	https://de.rs-online.com/web/p/metallstangen-und-stabe/1243623
angle	22	Frame Angle	RS Components	180-9136	https://de.rs-online.com/web/p/innensechskantschrauben/8229170
angles	4	Frame Angle	RS Components	180-9136	https://de.rs-online.com/web/p/innensechskantschrauben/8229170
Arduino Uno	1	Arduino Uno	Digi-Key Electronics	1050-1024-ND	https://www.digikey.de/de/products/detail/arduino/A000066/2784006
cable ties	many	Cable tie	Distrelec	301-41-528	https://www.distrelec.de/en/cable-tie-99-5mm-polypropylene-49n-black-panduit-plt1m-m100/p/30141528?trackQuery=cat-DNAV_PL_2225543&pos=1&origPos=9&origPageSize=50&filterapplied=filter_Length~~mm%3d99&track=true
Capcitive sensor mpr121	1	MPR121 Capacitive Touch Sensor	Tinkerly	No PartNo	https://paradisetronic.com/de/sensoren/mpr121-touchsensor-controller-breakout-12-kanaele-i2c
circuit board	1	BB-32621	Digi-Key Electronics	377-2094-ND	https://www.digikey.de/de/products/detail/bud-industries/BB-32621/4156445
compressed air hose	many	Compressed air hose			
connecting clamp	3	Connecting Clamp	RS Components	786-6071	https://de.rs-online.com/web/p/verbindungselemente/7866071
H bridge L293D	1	L293D H-bridge	Digi-Key Electronics	497-2936-5-ND	https://www.digikey.de/de/products/detail/stmicroelectronics/L293D/634700
hose connection glands	2	hose connection gland	Norma Group	07108910008	https://shop.normagroup.com/de_de/norma-sv-ges-8-r-1-8-07108910008.html#tab-label-description
Linear Actuator	1	Actuonix L16 Linear Actuator 35:1 50mm 12V with Potentiometer Feedback	RobotShop	L16-50-35-12-P	https://www.robotshop.com/uk/actuonix-l16-linear-actuator-351-50mm-12v-w--potentiometer-feedback.html
M5 round rods	2	Round rod M5	Misumi Europe GmbH	ETKLS12-200-F10-SC0-M5-N5	https://de.misumi-ec.com/vona2/detail/110300209240/?PNSearch=ETKLS12-200-F10-SC0-M5-N5&HissuCode=ETKLS12-200-F10-SC0-M5-N5&searchFlow=suggest2products&Keyword=ETKLS12-200-F10-SC0-M5-N5
M5 screw (6mm)	32	Hexagon socket screw	RS Components	822-9170	https://de.rs-online.com/web/p/innensechskantschrauben/8229170
M5 screws (12mm)	6	Hexagon socket screw	RS Components	183-8676	https://de.rs-online.com/web/p/innensechskantschrauben/1838676
M5 screws (6mm)	22	Hexagon socket screw	RS Components	822-9170	https://de.rs-online.com/web/p/innensechskantschrauben/8229170
M5x12mm screws	4	Hexagon socket screw	RS Components	183-8676	https://de.rs-online.com/web/p/innensechskantschrauben/1838676
nut	16	Frame nut	RS Components	180-9104	https://de.rs-online.com/web/p/innensechskantschrauben/1838676
nuts	40	Frame nut	RS Components	180-9104	https://de.rs-online.com/web/p/innensechskantschrauben/1838676
pinch valve clamp	1	pinch valve clamp	BIOZOL Diagnostica Vertrieb GmbH	075P2NC12-01S	https://www.lab-club.com/2-way-NC-pinch-valve-type-075P2NC12-01S
Pixy Camera	1	Pixy 2 CMUCAM5	Digi-Key Electronics	1738-1426-ND	https://www.digikey.de/de/products/detail/dfrobot/SEN0265/9559245
pressure relief valve	1	Pressure relief valve	RS Components	210-8443	https://de.rs-online.com/web/p/pneumatik-druckentlastungsventile/2108443
reducing_fitting	1	Reducing fitting	Hans Joachim SCHNEIDER GmbH	EA244205I	https://shop.schneider-berlin.de/Technisches-Zubehoer/Installationsmaterial/Gewinde-Verschraubungen/Doppelnippel/Doppelnippel-Edelstahl-AISI-316-R-1-4-x-R-1-4.html
solenoid pinch valve	2	pinch valve	BIOZOL Diagnostica Vertrieb GmbH	075P2NC12-01S	https://www.lab-club.com/2-way-NC-pinch-valve-type-075P2NC12-01S
Y-hose connector	1	hose connector	Norma Group	0770 8900 008	https://shop.normagroup.com/de_de/norma-sv-ys-0770.html
